# FILE_NAME,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,NAXIS3,EXTEND,BZERO,DATE-OBS,OBJECT,UT,UT-END,UT-STR,HST,HST-END,HST-STR,MJD,MJD-END,MJD-STR,FRAMEID,EXPTIME,DATA-TYP,OBSERVAT,TELESCOP,INSTRUME,TIMESYS,PROP-ID,OBSERVER,OBS-ALOC,OBS-MOD,RADESYS,LONPOLE,RA,DEC,EQUINOX,TELFOCUS,FOC-VAL,AIRMASS,ZD,AZIMUTH,ALTITUDE,FOC-POS,AUTOGUID,M2-TYPE,OUT-HUM,OUT-PRS,OUT-TMP,OUT-WND,U_CAMERA,U_AQTINT,U_AQNCYC,U_FLCOFF,U_AQSDEL,U_AQDTIM,U_HWPANG,U_NLOOPS,U_LOOPIT,U_NPOLST,U_PLSTIT,U_ORGDIR,U_OGFNAM,U_OGFNUM,U_EMGAIN,U_QWP1,U_QWP2,U_FILTER,U_MASK,U_MANGLE,U_AOHWP,D_SADC,D_SADCA1,D_SADCA2,D_SADCDC,D_SADCFC,D_SADCMD,D_SADCPA,D_SADCP,D_SADCRA,D_SADCST,D_BS1,D_BS1P,D_BS1S,D_BS2,D_BS2P,D_BS2S,D_ENSHUT,D_BNCHI,D_BNCHO,D_BNCTI,D_BNCTO,D_IMRANG,D_IMRDEC,D_IMRMOD,D_IMRPAD,D_IMRPAP,D_IMRRA,D_IMR,D_ADFG,D_DMCMTX,D_DMGAIN,D_HDFG,D_HTTG,D_LDFG,D_LOOP,D_LTTG,D_PSUBG,D_STTG,D_TTCMTX,D_TTGAIN,D_WTTG,DATE,DARK_SUBTRACTED_TOTAL_MEDIAN_FLUX_FLC_1,DARK_SUBTRACTED_TOTAL_MEDIAN_FLUX_FLC_2,DARK_SUBTRACTED_TOTAL_FLUX_STD_FLC_1,DARK_SUBTRACTED_TOTAL_FLUX_STD_FLC_2,DARK_SUBTRACTED_TOTAL_FLUX_PHOTON_NOISE_FLC_1,DARK_SUBTRACTED_TOTAL_FLUX_PHOTON_NOISE_FLC_2,DARK_SUBTRACTED_TOTAL_FLUX_SEM_FLC_1,DARK_SUBTRACTED_TOTAL_FLUX_SEM_FLC_2
caldata_set1_20220428_750-50_EmptySlot_00_cam1.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,26:03.2,21:26:02:696,21:25:45:807,26:03.2,11:26:02:700,11:25:45:810,59697.89309,59697.89308,59697.89288,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,30:36.5,+19:43:01.66,2000,P_OPT2,3.4,1,0.08128,89.95032,89.91872,Nasmyth-IR,OFF,Opt,29,620.2,282.35,5.2,1,10000,801,0,100000,10000,0,1,1,8,1,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,0,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.7,0,45.00015,-07:59:08.37,ADI,-501606851.3,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:26:06,21548309.39,182538061.9,93061215.56,83563993.29,251078.8446,744177.0253,116181.2928,104324.5859
caldata_set1_20220428_750-50_EmptySlot_00_cam2.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,26:03.2,21:26:02:696,21:25:45:807,26:03.2,11:26:02:700,11:25:45:810,59697.89309,59697.89308,59697.89288,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,30:36.5,+19:43:01.66,2000,P_OPT2,3.4,1,0.08128,89.95032,89.91872,Nasmyth-IR,OFF,Opt,29,620.2,282.35,5.2,2,10000,801,0,100000,10000,0,1,1,8,1,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,0,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.7,0,45.00015,-07:59:08.37,ADI,-501606851.3,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:26:10,412032678.5,90354072.21,96706125.4,78792417.95,1118939.127,520027.0375,120731.7421,98367.56298
caldata_set1_20220428_750-50_EmptySlot_01_cam1.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,26:31.3,21:26:30:777,21:26:13:893,26:31.3,11:26:30:780,11:26:13:899,59697.89342,59697.8934,59697.89321,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,31:04.7,+19:43:01.98,2000,P_OPT2,3.4,1,0.08129,89.95034,89.91871,Nasmyth-IR,OFF,Opt,28.8,620.2,282.25,5,1,10000,801,0,100000,10000,11.25,1,1,8,2,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,1,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.7,0,45.00015,-07:59:08.37,ADI,-501666115.6,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:26:34,21088953.07,134998677.8,96424037.45,80059830.95,248485.3008,639272.1986,120379.5724,99949.85137
caldata_set1_20220428_750-50_EmptySlot_01_cam2.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,26:31.3,21:26:30:777,21:26:13:893,26:31.3,11:26:30:780,11:26:13:899,59697.89342,59697.8934,59697.89321,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,31:04.7,+19:43:01.98,2000,P_OPT2,3.4,1,0.08129,89.95034,89.91871,Nasmyth-IR,OFF,Opt,28.8,620.2,282.25,5,2,10000,801,0,100000,10000,11.25,1,1,8,2,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,1,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.7,0,45.00015,-07:59:08.37,ADI,-501666115.6,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:26:38,404138312.1,175783496.5,91142379.31,71645278.97,1108173.038,727935.4397,113785.742,89444.79272
caldata_set1_20220428_750-50_EmptySlot_010_cam1.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,31:09.3,21:31:08:709,21:30:51:856,31:09.3,11:31:08:713,11:30:51:859,59697.89664,59697.89662,59697.89642,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,35:43.3,+19:43:05.32,2000,P_OPT2,3.4,1,0.08127,89.94969,89.91873,Nasmyth-IR,OFF,Opt,28.3,620.1,282.65,4.3,1,10000,801,0,100000,10000,22.5,1,1,8,3,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,10,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.8,0,57.49973,-07:59:08.37,ADI,-502256896.8,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:31:12,22834924.39,151270377.8,92905789.78,70939018.78,258331.8417,677042.7861,115987.2532,88563.06964
caldata_set1_20220428_750-50_EmptySlot_010_cam2.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,31:09.3,21:31:08:709,21:30:51:856,31:09.3,11:31:08:713,11:30:51:859,59697.89664,59697.89662,59697.89642,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,35:43.3,+19:43:05.32,2000,P_OPT2,3.4,1,0.08127,89.94969,89.91873,Nasmyth-IR,OFF,Opt,28.3,620.1,282.65,4.3,2,10000,801,0,100000,10000,22.5,1,1,8,3,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,10,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.8,0,57.49973,-07:59:08.37,ADI,-502256896.8,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:31:16,407985984.8,149533655,95422437.53,86193918.98,1113688.922,670497.7459,119129.1355,107607.8889
caldata_set1_20220428_750-50_EmptySlot_011_cam1.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,31:36.8,21:31:36:385,21:31:19:550,31:36.8,11:31:36:389,11:31:19:553,59697.89695,59697.89694,59697.89675,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,36:10.8,+19:43:05.66,2000,P_OPT2,3.4,1,0.08127,89.95033,89.91873,Nasmyth-IR,OFF,Opt,28.5,620.1,282.65,4.2,1,10000,801,0,100000,10000,33.75,1,1,8,4,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,11,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.8,0,57.49973,-07:59:08.37,ADI,-502314093.8,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:31:40,66494999.52,94102228.27,86405474.28,71047745.93,446692.2251,532679.5817,107872.0028,88698.8089
caldata_set1_20220428_750-50_EmptySlot_011_cam2.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,31:36.8,21:31:36:385,21:31:19:550,31:36.8,11:31:36:389,11:31:19:553,59697.89695,59697.89694,59697.89675,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,36:10.8,+19:43:05.66,2000,P_OPT2,3.4,1,0.08127,89.95033,89.91873,Nasmyth-IR,OFF,Opt,28.5,620.1,282.65,4.2,2,10000,801,0,100000,10000,33.75,1,1,8,4,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,11,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.8,0,57.49973,-07:59:08.37,ADI,-502314093.8,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:31:44,308492059.3,256618128.3,90827565.04,88202894.21,967215.9438,881320.5089,113392.7154,110115.9728
caldata_set1_20220428_750-50_EmptySlot_012_cam1.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,32:04.5,21:32:04:061,21:31:47:191,32:04.5,11:32:04:066,11:31:47:195,59697.89727,59697.89727,59697.89707,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,36:38.6,+19:43:06.00,2000,P_OPT2,3.4,1,0.08127,89.95034,89.91873,Nasmyth-IR,OFF,Opt,28.1,620.1,282.75,4.3,1,10000,801,0,100000,10000,45,1,1,8,5,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,12,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.8,0,57.49973,-07:59:08.37,ADI,-502373413.7,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:32:08,134112110.6,52211152.11,91577042.21,87051315.09,637323.3364,394874.6602,114328.3923,108678.296
caldata_set1_20220428_750-50_EmptySlot_012_cam2.fits,TRUE,16,3,256,256,1602,TRUE,32768,4/28/22,lo dark,32:04.5,21:32:04:061,21:31:47:191,32:04.5,11:32:04:066,11:31:47:195,59697.89727,59697.89727,59697.89707,-,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,#,None,Standby,IMAG_POL,FK5,180,36:38.6,+19:43:06.00,2000,P_OPT2,3.4,1,0.08127,89.95034,89.91873,Nasmyth-IR,OFF,Opt,28.1,620.1,282.75,4.3,2,10000,801,0,100000,10000,45,1,1,8,5,/mnt/data/20220428/,caldata_set1_20220428_750-50_EmptySlot_0,12,300,128,168,750-50,EmptySlot,1,T,IN,0,0,-07:59:08,1,ADI,-39,163.025,46:31.8,ASYNC,SCEXAO,348.72,35708928,MIRROR,152.63,15629312,OPEN,24,100,10.8,0,57.49973,-07:59:08.37,ADI,-502373413.7,-39,46:31.8,STAND-BY,0,ao188cmtx.oct,0,1,1,0,OFF,0,0,0,ao188ttctrl.oct,0,0,2022-04-28T21:32:11,158437074.2,329038778.8,91917384.3,86291088.76,690266.4723,999000.8774,114753.2888,107729.1994
