FILE_NAME,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,DATE-OBS,OBJECT,UT,UT-END,UT-STR,HST,HST-END,HST-STR,MJD,MJD-END,MJD-STR,FRAMEID,EXPTIME,DATA-TYP,OBSERVAT,TELESCOP,INSTRUME,TIMESYS,PROP-ID,OBSERVER,OBS-ALOC,OBS-MOD,RADESYS,LONPOLE,RA,DEC,EQUINOX,TELFOCUS,FOC-VAL,AIRMASS,ZD,AZIMUTH,ALTITUDE,FOC-POS,AUTOGUID,M2-TYPE,OUT-HUM,OUT-PRS,OUT-TMP,OUT-WND,U_CAMERA,U_AQTINT,U_AQNCYC,U_FLCOFF,U_AQSDEL,U_AQDTIM,U_HWPANG,U_NLOOPS,U_LOOPIT,U_NPOLST,U_PLSTIT,U_ORGDIR,U_OGFNAM,U_OGFNUM,U_EMGAIN,U_QWP1,U_QWP2,U_FILTER,U_MASK,U_MANGLE,U_AOHWP,D_SADC,D_SADCA1,D_SADCA2,D_SADCDC,D_SADCFC,D_SADCMD,D_SADCPA,D_SADCP,D_SADCRA,D_SADCST,D_BS1,D_BS1P,D_BS1S,D_BS2,D_BS2P,D_BS2S,D_ENSHUT,D_BNCHI,D_BNCHO,D_BNCTI,D_BNCTO,D_IMRANG,D_IMRDEC,D_IMRMOD,D_IMRPAD,D_IMRPAP,D_IMRRA,D_IMR,D_ADFG,D_DMCMTX,D_DMGAIN,D_HDFG,D_HTTG,D_LDFG,D_LOOP,D_LTTG,D_PSUBG,D_STTG,D_TTCMTX,D_TTGAIN,D_WTTG,DATE,U_FLCSTT,OG_FRMID,DETECTOR,DETGAIN,RET-ANG1,RETPLAT1,U_FLCANG,TINT,PA-STR,PA-END,PA,PARANG,WCSAXES,CRPIX1,CRPIX2,PC1_1,PC1_2,PC2_1,PC2_2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,LATPOLE,MJDREF,DPP_BACK,COL_METH,MAX_X,MAX_Y,MAX_PIXEL_VALUE,R_15_TOTAL_COUNTS,NORM_I,DOUBLE_DIFFERENCE,DOUBLE_SUM,Q,U,Q_sem,U_sem,POL_DEGREE,AOLP,R_15_TOTAL_COUNTS_PHOTON_NOISE,DOUBLE_DIFFERENCE_ERRS,DOUBLE_SUM_ERRS,TOTAL_I,TOTAL_I_ERR,UNNORMALIZED_DOUBLE_DIFFERENCE,UNNORMALIZED_DOUBLE_DIFFERENCE_ERRS,Q_PHOTON_NOISE,U_PHOTON_NOISE
VDATA20220128A_00000152_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:19:11.312,06:19:19.289,06:19:03.334,20:19:11.317,20:19:19.295,20:19:03.339,59607.2633215,59607.263414,59607.263229,VTMP00000152,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.733,26:14:32.96,2000.0,NS_IR,-0.12,1.009,7.54967,30.44367,82.45033,Nasmyth-IR,OFF,IR,24.8,621.8,271.65,4.4,1.0,10000.0,751.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.87302,142.873,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.71219,+26:14:35.06,ADI,-6.914,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:19:24,1,VMPA00016301,iXon Ultra 897 - VAMPIRES 1.0,300.0,0.0,HWP(NIR),45,7.5,-149.4500464550491,-149.8790366076455,-149.664115613263,131.735884386737,2,128.5,128.5,-0.66569784416982,0.7462214016414,-0.7462214016414,-0.66569784416982,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769720833333,26.242488888889,26.242488888889,0.0,master_dark_em300_00010ms_cam1.fits,median,116.0,127.0,6177.0,639915.9407312297,"(-0.04952890155079406, 0.0)",-0.0269958612358795,-0.190492468725006,0.0,0.0,0,0,0.0,0.0,172.80839919021835,0.000120377949716,0.0001224979589933,3222769.679700915,387.8091190954989,-87001.44306840596,387.8091190954989,0.0,0.0
VDATA20220128A_00000153_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:19:11.312,06:19:19.289,06:19:03.334,20:19:11.317,20:19:19.295,20:19:03.339,59607.2633215,59607.263414,59607.263229,VTMP00000153,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.733,26:14:32.96,2000.0,NS_IR,-0.12,1.009,7.54967,30.44367,82.45033,Nasmyth-IR,OFF,IR,24.8,621.8,271.65,4.4,1.0,10000.0,751.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.87302,142.873,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.71219,+26:14:35.06,ADI,-6.914,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:19:24,2,VMPA00016301,iXon Ultra 897 - VAMPIRES 1.0,300.0,0.0,HWP(NIR),45,7.5,-149.4500464550491,-149.8790366076455,-149.664115613263,131.735884386737,2,128.5,128.5,-0.66569784416982,0.7462214016414,-0.7462214016414,-0.66569784416982,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769720833333,26.242488888889,26.242488888889,0.0,master_dark_em300_00010ms_cam1.fits,median,116.0,127.0,6552.0,664512.2229100656,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,176.0981811450366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000154_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:19:11.312,06:19:19.289,06:19:03.334,20:19:11.317,20:19:19.295,20:19:03.339,59607.2633215,59607.263414,59607.263229,VTMP00000154,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.733,26:14:32.96,2000.0,NS_IR,-0.12,1.009,7.54967,30.44367,82.45033,Nasmyth-IR,OFF,IR,24.8,621.8,271.65,4.4,2.0,10000.0,751.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.87302,142.873,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.71219,+26:14:35.06,ADI,-6.914,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:19:29,1,VMPA00016303,iXon Ultra 897 - VAMPIRES 2.0,300.0,0.0,HWP(NIR),45,7.5,-149.4500464550491,-149.8790366076455,-149.664115613263,131.735884386737,2,128.5,128.5,-0.66569784416982,0.7462214016414,-0.7462214016414,-0.66569784416982,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769720833333,26.242488888889,26.242488888889,0.0,master_dark_em300_00010ms_cam2.fits,median,118.0,126.0,9223.5,990373.3384745948,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,214.9823733448858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000155_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:19:11.312,06:19:19.289,06:19:03.334,20:19:11.317,20:19:19.295,20:19:03.339,59607.2633215,59607.263414,59607.263229,VTMP00000155,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.733,26:14:32.96,2000.0,NS_IR,-0.12,1.009,7.54967,30.44367,82.45033,Nasmyth-IR,OFF,IR,24.8,621.8,271.65,4.4,2.0,10000.0,751.0,0.0,100000.0,10000.0,0.0,2.0,1.0,4.0,1.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.87302,142.873,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.71219,+26:14:35.06,ADI,-6.914,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:19:29,2,VMPA00016303,iXon Ultra 897 - VAMPIRES 2.0,300.0,0.0,HWP(NIR),45,7.5,-149.4500464550491,-149.8790366076455,-149.664115613263,131.735884386737,2,128.5,128.5,-0.66569784416982,0.7462214016414,-0.7462214016414,-0.66569784416982,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769720833333,26.242488888889,26.242488888889,0.0,master_dark_em300_00010ms_cam2.fits,median,118.0,126.0,9032.0,927968.1775850246,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,208.09896629092367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000156_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:20:01.598,06:20:09.535,06:19:53.661,20:20:01.604,20:20:09.541,20:19:53.667,59607.2639005,59607.263993,59607.263808,VTMP00000156,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.735,26:14:32.97,2000.0,NS_IR,-0.12,1.009,7.45191,29.21976,82.54809,Nasmyth-IR,OFF,IR,25.0,621.8,271.65,4.4,1.0,10000.0,751.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.82199,142.82198,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.75996,+26:14:35.06,ADI,-8.22,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:20:13,1,VMPA00016305,iXon Ultra 897 - VAMPIRES 1.0,300.0,45.0,HWP(NIR),45,7.5,-150.8039735001947,-151.2436111333928,-151.0233679766241,130.3766320233759,2,128.5,128.5,-0.64780925519169,0.76180257868295,-0.76180257868295,-0.64780925519169,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769729166667,26.242491666667,26.242491666667,0.0,master_dark_em300_00010ms_cam1.fits,median,116.0,127.0,3807.0,438571.6054658868,"(0.08267930085376474, 0.0)",0.0417013567251485,-0.2003579488507501,0.0,0.0,0,0,0.0,0.0,143.06178520045316,0.0001495720537538,0.0001524122079891,2089586.8961388469,312.272400149955,87138.60856408195,312.272400149955,0.0,0.0
VDATA20220128A_00000157_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:20:01.598,06:20:09.535,06:19:53.661,20:20:01.604,20:20:09.541,20:19:53.667,59607.2639005,59607.263993,59607.263808,VTMP00000157,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.735,26:14:32.97,2000.0,NS_IR,-0.12,1.009,7.45191,29.21976,82.54809,Nasmyth-IR,OFF,IR,25.0,621.8,271.65,4.4,1.0,10000.0,751.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.82199,142.82198,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.75996,+26:14:35.06,ADI,-8.22,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:20:13,2,VMPA00016305,iXon Ultra 897 - VAMPIRES 1.0,300.0,45.0,HWP(NIR),45,7.5,-150.8039735001947,-151.2436111333928,-151.0233679766241,130.3766320233759,2,128.5,128.5,-0.64780925519169,0.76180257868295,-0.76180257868295,-0.64780925519169,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769729166667,26.242491666667,26.242491666667,0.0,master_dark_em300_00010ms_cam1.fits,median,115.0,127.0,3414.0,396889.1703756442,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,136.0936957490691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000158_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:20:01.598,06:20:09.535,06:19:53.661,20:20:01.604,20:20:09.541,20:19:53.667,59607.2639005,59607.263993,59607.263808,VTMP00000158,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.735,26:14:32.97,2000.0,NS_IR,-0.12,1.009,7.45191,29.21976,82.54809,Nasmyth-IR,OFF,IR,25.0,621.8,271.65,4.4,2.0,10000.0,751.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.82199,142.82198,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.75996,+26:14:35.06,ADI,-8.22,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:20:19,1,VMPA00016307,iXon Ultra 897 - VAMPIRES 2.0,300.0,45.0,HWP(NIR),45,7.5,-150.8039735001947,-151.2436111333928,-151.0233679766241,130.3766320233759,2,128.5,128.5,-0.64780925519169,0.76180257868295,-0.76180257868295,-0.64780925519169,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769729166667,26.242491666667,26.242491666667,0.0,master_dark_em300_00010ms_cam2.fits,median,117.0,126.0,5106.0,604334.9734117382,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,167.93539713509242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000159_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:20:01.598,06:20:09.535,06:19:53.661,20:20:01.604,20:20:09.541,20:19:53.667,59607.2639005,59607.263993,59607.263808,VTMP00000159,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.735,26:14:32.97,2000.0,NS_IR,-0.12,1.009,7.45191,29.21976,82.54809,Nasmyth-IR,OFF,IR,25.0,621.8,271.65,4.4,2.0,10000.0,751.0,0.0,100000.0,10000.0,45.0,2.0,1.0,4.0,2.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.82199,142.82198,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.75996,+26:14:35.06,ADI,-8.22,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:20:19,2,VMPA00016307,iXon Ultra 897 - VAMPIRES 2.0,300.0,45.0,HWP(NIR),45,7.5,-150.8039735001947,-151.2436111333928,-151.0233679766241,130.3766320233759,2,128.5,128.5,-0.64780925519169,0.76180257868295,-0.76180257868295,-0.64780925519169,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769729166667,26.242491666667,26.242491666667,0.0,master_dark_em300_00010ms_cam2.fits,median,118.0,126.0,5331.5,649791.1468855775,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,174.13668733817016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000160_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:20:32.246,06:20:40.178,06:20:24.314,20:20:32.253,20:20:40.185,20:20:24.320,59607.2642595,59607.264352,59607.264167,VTMP00000160,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.735,26:14:32.96,2000.0,NS_IR,-0.12,1.008,7.3939,28.45448,82.6061,Nasmyth-IR,OFF,IR,24.9,621.8,271.65,4.4,1.0,10000.0,751.0,0.0,100000.0,10000.0,22.5,2.0,1.0,4.0,3.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.79102,142.79101,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.79248,+26:14:35.06,ADI,-9.047,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:20:44,1,VMPA00016309,iXon Ultra 897 - VAMPIRES 1.0,300.0,22.5,HWP(NIR),45,7.5,-151.6601926498157,-152.106403806169,-151.8828758350241,129.5171241649759,2,128.5,128.5,-0.63630880966624,0.77143444228342,-0.77143444228342,-0.63630880966624,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769729166667,26.242488888889,26.242488888889,0.0,master_dark_em300_00010ms_cam1.fits,median,115.0,127.0,639.5,140567.7114258783,"(-0.038984527454600376, 0.0)",-0.0211077465894994,-0.2054603493004158,0.0,0.0,0,0,0.0,0.0,80.99275447311199,0.0002547043626905,0.0002599669268358,719660.1400429639,183.2597573714736,-15190.403866590585,183.2597573714736,0.0,0.0
VDATA20220128A_00000161_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HD29835,06:20:32.246,06:20:40.178,06:20:24.314,20:20:32.253,20:20:40.185,20:20:24.320,59607.2642595,59607.264352,59607.264167,VTMP00000161,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:43:04.735,26:14:32.96,2000.0,NS_IR,-0.12,1.008,7.3939,28.45448,82.6061,Nasmyth-IR,OFF,IR,24.9,621.8,271.65,4.4,1.0,10000.0,751.0,0.0,100000.0,10000.0,22.5,2.0,1.0,4.0,3.0,/mnt/data/20220128/,HD36819_01_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,144.79102,142.79101,+26:14:35,1.0,ADI,-39.0,163.025,04:43:05.0,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,11.2,0.0,105.79248,+26:14:35.06,ADI,-9.047,-39.0,04:43:05.040,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T06:20:44,2,VMPA00016309,iXon Ultra 897 - VAMPIRES 1.0,300.0,22.5,HWP(NIR),45,7.5,-151.6601926498157,-152.106403806169,-151.8828758350241,129.5171241649759,2,128.5,128.5,-0.63630880966624,0.77143444228342,-0.77143444228342,-0.63630880966624,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,70.769729166667,26.242488888889,26.242488888889,0.0,master_dark_em300_00010ms_cam1.fits,median,115.0,126.0,661.0,145331.5467201969,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,82.35374088466472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
