FILE_NAME,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,DATE-OBS,OBJECT,UT,UT-END,UT-STR,HST,HST-END,HST-STR,MJD,MJD-END,MJD-STR,FRAMEID,EXPTIME,DATA-TYP,OBSERVAT,TELESCOP,INSTRUME,TIMESYS,PROP-ID,OBSERVER,OBS-ALOC,OBS-MOD,RADESYS,LONPOLE,RA,DEC,EQUINOX,TELFOCUS,FOC-VAL,AIRMASS,ZD,AZIMUTH,ALTITUDE,FOC-POS,AUTOGUID,M2-TYPE,OUT-HUM,OUT-PRS,OUT-TMP,OUT-WND,U_CAMERA,U_AQTINT,U_AQNCYC,U_FLCOFF,U_AQSDEL,U_AQDTIM,U_HWPANG,U_NLOOPS,U_LOOPIT,U_NPOLST,U_PLSTIT,U_ORGDIR,U_OGFNAM,U_OGFNUM,U_EMGAIN,U_QWP1,U_QWP2,U_FILTER,U_MASK,U_MANGLE,U_AOHWP,D_SADC,D_SADCA1,D_SADCA2,D_SADCDC,D_SADCFC,D_SADCMD,D_SADCPA,D_SADCP,D_SADCRA,D_SADCST,D_BS1,D_BS1P,D_BS1S,D_BS2,D_BS2P,D_BS2S,D_ENSHUT,D_BNCHI,D_BNCHO,D_BNCTI,D_BNCTO,D_IMRANG,D_IMRDEC,D_IMRMOD,D_IMRPAD,D_IMRPAP,D_IMRRA,D_IMR,D_ADFG,D_DMCMTX,D_DMGAIN,D_HDFG,D_HTTG,D_LDFG,D_LOOP,D_LTTG,D_PSUBG,D_STTG,D_TTCMTX,D_TTGAIN,D_WTTG,DATE,U_FLCSTT,OG_FRMID,DETECTOR,DETGAIN,RET-ANG1,RETPLAT1,U_FLCANG,TINT,PA-STR,PA-END,PA,PARANG,WCSAXES,CRPIX1,CRPIX2,PC1_1,PC1_2,PC2_1,PC2_2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,LATPOLE,MJDREF,DPP_BACK,COL_METH,MAX_X,MAX_Y,MAX_PIXEL_VALUE,R_15_TOTAL_COUNTS,NORM_I,DOUBLE_DIFFERENCE,DOUBLE_SUM,Q,U,Q_sem,U_sem,POL_DEGREE,AOLP,R_15_TOTAL_COUNTS_PHOTON_NOISE,DOUBLE_DIFFERENCE_ERRS,DOUBLE_SUM_ERRS,TOTAL_I,TOTAL_I_ERR,UNNORMALIZED_DOUBLE_DIFFERENCE,UNNORMALIZED_DOUBLE_DIFFERENCE_ERRS,Q_PHOTON_NOISE,U_PHOTON_NOISE
VDATA20220128A_00000040_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:43:06.039,05:43:25.479,05:42:46.599,19:43:06.045,19:43:25.486,19:42:46.604,59607.238258,59607.238484,59607.238032,VTMP00000040,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.11,37:16:53.57,2000.0,NS_IR,-0.12,1.054,18.48131,17.24982,71.51869,Nasmyth-IR,OFF,IR,25.4,621.6,271.75,4.3,1.0,10000.0,1901.0,0.0,100000.0,10000.0,0.0,200.0,1.0,4.0,1.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.80397,148.80396,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.25156,+37:16:55.28,ADI,-18.479,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:43:34,1,VMPA00016189,iXon Ultra 897 - VAMPIRES 1.0,300.0,0.0,HWP(NIR),45,19.0,-159.985150379943,-160.4522104339665,-160.2184273556714,121.1815726443286,2,128.5,128.5,-0.51775188201865,0.85553082274466,-0.85553082274466,-0.51775188201865,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.275458333333,37.281547222222,37.281547222222,0.0,master_dark_em300_00010ms_cam1.fits,median,122.0,129.0,180.0,30428.324265405507,"(-0.001770416861140378, 0.0)",-0.0042965219613203,-0.2865411087142672,0.0,0.0,0,0,0.0,0.0,37.68273349541877,0.000525807133729,0.0005469622195711,168795.8765048168,88.75325681702175,-725.2351903832605,88.75325681702175,0.0,0.0
VDATA20220128A_00000041_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:43:06.039,05:43:25.479,05:42:46.599,19:43:06.045,19:43:25.486,19:42:46.604,59607.238258,59607.238484,59607.238032,VTMP00000041,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.11,37:16:53.57,2000.0,NS_IR,-0.12,1.054,18.48131,17.24982,71.51869,Nasmyth-IR,OFF,IR,25.4,621.6,271.75,4.3,1.0,10000.0,1901.0,0.0,100000.0,10000.0,0.0,200.0,1.0,4.0,1.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.80397,148.80396,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.25156,+37:16:55.28,ADI,-18.479,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:43:34,2,VMPA00016189,iXon Ultra 897 - VAMPIRES 1.0,300.0,0.0,HWP(NIR),45,19.0,-159.985150379943,-160.4522104339665,-160.2184273556714,121.1815726443286,2,128.5,128.5,-0.51775188201865,0.85553082274466,-0.85553082274466,-0.51775188201865,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.275458333333,37.281547222222,37.281547222222,0.0,master_dark_em300_00010ms_cam1.fits,median,122.0,131.0,178.5,29786.13518695953,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,37.2829664055136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000042_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:43:06.039,05:43:25.479,05:42:46.599,19:43:06.045,19:43:25.486,19:42:46.604,59607.238258,59607.238484,59607.238032,VTMP00000042,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.11,37:16:53.57,2000.0,NS_IR,-0.12,1.054,18.48131,17.24982,71.51869,Nasmyth-IR,OFF,IR,25.4,621.6,271.75,4.3,2.0,10000.0,1901.0,0.0,100000.0,10000.0,0.0,200.0,1.0,4.0,1.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.80397,148.80396,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.25156,+37:16:55.28,ADI,-18.479,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:43:43,1,VMPA00016191,iXon Ultra 897 - VAMPIRES 2.0,300.0,0.0,HWP(NIR),45,19.0,-159.985150379943,-160.4522104339665,-160.2184273556714,121.1815726443286,2,128.5,128.5,-0.51775188201865,0.85553082274466,-0.85553082274466,-0.51775188201865,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.275458333333,37.281547222222,37.281547222222,0.0,master_dark_em300_00010ms_cam2.fits,median,123.0,128.0,293.5,54974.4206606405,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.6504971202188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000043_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:43:06.039,05:43:25.479,05:42:46.599,19:43:06.045,19:43:25.486,19:42:46.604,59607.238258,59607.238484,59607.238032,VTMP00000043,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.11,37:16:53.57,2000.0,NS_IR,-0.12,1.054,18.48131,17.24982,71.51869,Nasmyth-IR,OFF,IR,25.4,621.6,271.75,4.3,2.0,10000.0,1901.0,0.0,100000.0,10000.0,0.0,200.0,1.0,4.0,1.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,0,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.80397,148.80396,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.25156,+37:16:55.28,ADI,-18.479,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:43:43,2,VMPA00016191,iXon Ultra 897 - VAMPIRES 2.0,300.0,0.0,HWP(NIR),45,19.0,-159.985150379943,-160.4522104339665,-160.2184273556714,121.1815726443286,2,128.5,128.5,-0.51775188201865,0.85553082274466,-0.85553082274466,-0.51775188201865,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.275458333333,37.281547222222,37.281547222222,0.0,master_dark_em300_00010ms_cam2.fits,median,123.0,128.0,282.5,53606.99639181126,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.01659474036106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000044_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:44:40.505,05:44:59.941,05:44:21.068,19:44:40.512,19:44:59.948,19:44:21.075,59607.239352,59607.239572,59607.239132,VTMP00000044,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.289,37:16:57.23,2000.0,NS_IR,-0.12,1.054,18.37532,16.31819,71.62468,Nasmyth-IR,OFF,IR,25.3,621.6,271.75,4.3,1.0,10000.0,1901.0,0.0,100000.0,10000.0,45.0,200.0,1.0,4.0,2.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.74297,148.74296,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.30078,+37:16:55.28,ADI,-19.598,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:45:12,1,VMPA00016191,iXon Ultra 897 - VAMPIRES 1.0,300.0,45.0,HWP(NIR),45,19.0,-161.1241402386974,-161.5834484168246,-161.3535639460381,120.0464360539619,2,128.5,128.5,-0.50070171642061,0.86561988838835,-0.86561988838835,-0.50070171642061,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.276204166667,37.282563888889,37.282563888889,0.0,master_dark_em300_00010ms_cam1.fits,median,121.0,130.0,40.0,6530.114179591839,"(0.060690218695542864, 0.0)",0.0273187050821756,-0.4622136251892682,0.0,0.0,0,0,0.0,0.0,,,,45693.10127782012,,1248.2763580987505,,0.0,0.0
VDATA20220128A_00000045_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:44:40.505,05:44:59.941,05:44:21.068,19:44:40.512,19:44:59.948,19:44:21.075,59607.239352,59607.239572,59607.239132,VTMP00000045,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.289,37:16:57.23,2000.0,NS_IR,-0.12,1.054,18.37532,16.31819,71.62468,Nasmyth-IR,OFF,IR,25.3,621.6,271.75,4.3,1.0,10000.0,1901.0,0.0,100000.0,10000.0,45.0,200.0,1.0,4.0,2.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.74297,148.74296,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.30078,+37:16:55.28,ADI,-19.598,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:45:12,2,VMPA00016191,iXon Ultra 897 - VAMPIRES 1.0,300.0,45.0,HWP(NIR),45,19.0,-161.1241402386974,-161.5834484168246,-161.3535639460381,120.0464360539619,2,128.5,128.5,-0.50070171642061,0.86561988838835,-0.86561988838835,-0.50070171642061,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.276204166667,37.282563888889,37.282563888889,0.0,master_dark_em300_00010ms_cam1.fits,median,123.0,130.0,36.0,5756.44946543741,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000046_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:44:40.505,05:44:59.941,05:44:21.068,19:44:40.512,19:44:59.948,19:44:21.075,59607.239352,59607.239572,59607.239132,VTMP00000046,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.289,37:16:57.23,2000.0,NS_IR,-0.12,1.054,18.37532,16.31819,71.62468,Nasmyth-IR,OFF,IR,25.3,621.6,271.75,4.3,2.0,10000.0,1901.0,0.0,100000.0,10000.0,45.0,200.0,1.0,4.0,2.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.74297,148.74296,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.30078,+37:16:55.28,ADI,-19.598,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:45:21,1,VMPA00016195,iXon Ultra 897 - VAMPIRES 2.0,300.0,45.0,HWP(NIR),45,19.0,-161.1241402386974,-161.5834484168246,-161.3535639460381,120.0464360539619,2,128.5,128.5,-0.50070171642061,0.86561988838835,-0.86561988838835,-0.50070171642061,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.276204166667,37.282563888889,37.282563888889,0.0,master_dark_em300_00010ms_cam2.fits,median,122.0,128.0,68.0,16465.962994423273,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,27.72023760103752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000047_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:44:40.505,05:44:59.941,05:44:21.068,19:44:40.512,19:44:59.948,19:44:21.075,59607.239352,59607.239572,59607.239132,VTMP00000047,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.289,37:16:57.23,2000.0,NS_IR,-0.12,1.054,18.37532,16.31819,71.62468,Nasmyth-IR,OFF,IR,25.3,621.6,271.75,4.3,2.0,10000.0,1901.0,0.0,100000.0,10000.0,45.0,200.0,1.0,4.0,2.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,1,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.74297,148.74296,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.6,0.0,100.30078,+37:16:55.28,ADI,-19.598,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:45:21,2,VMPA00016195,iXon Ultra 897 - VAMPIRES 2.0,300.0,45.0,HWP(NIR),45,19.0,-161.1241402386974,-161.5834484168246,-161.3535639460381,120.0464360539619,2,128.5,128.5,-0.50070171642061,0.86561988838835,-0.86561988838835,-0.50070171642061,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.276204166667,37.282563888889,37.282563888889,0.0,master_dark_em300_00010ms_cam2.fits,median,124.0,129.0,66.0,16940.574638367594,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,28.1169009652134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDATA20220128A_00000048_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:46:49.377,05:47:08.812,05:46:29.941,19:46:49.383,19:47:08.818,19:46:29.948,59607.24083900001,59607.241065,59607.240613,VTMP00000048,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.292,37:16:57.19,2000.0,NS_IR,-0.12,1.053,18.23824,15.02449,71.76176,Nasmyth-IR,OFF,IR,25.1,621.7,271.75,4.3,1.0,10000.0,1901.0,0.0,100000.0,10000.0,22.5,200.0,1.0,4.0,3.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.66401,148.664,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.5,0.0,100.36809,+37:16:55.28,ADI,-21.152,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:47:19,1,,iXon Ultra 897 - VAMPIRES 1.0,300.0,22.5,HWP(NIR),45,19.0,-162.6772990910008,-163.155340662049,-162.9160915968744,118.4839084031256,2,128.5,128.5,-0.47691192447414,0.87895108868149,-0.87895108868149,-0.47691192447414,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.276216666667,37.282552777778,37.282552777778,0.0,master_dark_em300_00010ms_cam1.fits,median,122.0,129.0,59.0,10908.420724277245,"(-0.01371325063332457, 0.0)",-0.0132425733631768,-0.3748628868178672,0.0,0.0,0,0,0.0,0.0,,,,69377.06413278474,,-918.7308615002312,,0.0,0.0
VDATA20220128A_00000049_calib_collapsed.fits,True,-32,2,256,256,2022-01-28,HDE279658,05:46:49.377,05:47:08.812,05:46:29.941,19:46:49.383,19:47:08.818,19:46:29.948,59607.24083900001,59607.241065,59607.240613,VTMP00000049,0.01,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,4:17:06.292,37:16:57.19,2000.0,NS_IR,-0.12,1.053,18.23824,15.02449,71.76176,Nasmyth-IR,OFF,IR,25.1,621.7,271.75,4.3,1.0,10000.0,1901.0,0.0,100000.0,10000.0,22.5,200.0,1.0,4.0,3.0,/mnt/data/20220128/,HDE279568_03_20220128_675-50_EmptySlot_0,2,300.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,150.66401,148.664,+37:16:55,1.0,ADI,-39.0,163.025,04:17:06.6,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,14.0,100.0,11.5,0.0,100.36809,+37:16:55.28,ADI,-21.152,-39.0,04:17:06.560,TRACK,0.0,ao188cmtx.oct,10.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T05:47:19,2,,iXon Ultra 897 - VAMPIRES 1.0,300.0,22.5,HWP(NIR),45,19.0,-162.6772990910008,-163.155340662049,-162.9160915968744,118.4839084031256,2,128.5,128.5,-0.47691192447414,0.87895108868149,-0.87895108868149,-0.47691192447414,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,64.276216666667,37.282552777778,37.282552777778,0.0,master_dark_em300_00010ms_cam1.fits,median,120.0,129.0,61.0,10776.668072233122,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
